Paper_Name,Year,Citation_Number,Type
Video Classification Using Semantic Concept Co-occurrences,2014,45,Poster
Temporal Segmentation of Egocentric Videos,2014,207,Poster
Efficient Action Localization with Approximately Normalized Fisher Vectors,2014,87,Poster
Unsupervised Trajectory Modelling Using Temporal Information via Minimal Paths,2014,26,Poster
A Hierarchical Context Model for Event Recognition in Surveillance Video,2014,41,Poster
DISCOVER: Discovering Important Segments for Classification of Video Events and Recounting,2014,61,Poster
Towards Good Practices for Action Video Encoding,2014,92,Poster
Improving Semantic Concept Detection through the Dictionary of Visually-Distinct Elements,2014,9,Poster
"Efficient Feature Extraction, Encoding, and Classification for Action Recognition",2014,310,Poster
3D Pose from Motion for Cross-View Action Recognition via Non-linear Circulant Temporal Encoding,2014,137,Poster
Human Action Recognition Based on Context-Dependent Graph Kernels,2014,67,Poster
Depth and Skeleton Associated Action Recognition without Online Accessible RGB-D Cameras,2014,36,Poster
DL-SFA: Deeply-Learned Slow Feature Analysis for Action Recognition,2014,146,Poster
A Cause and Effect Analysis of Motion Trajectories for Modeling Actions,2014,45,Poster
From Stochastic Grammar to Bayes Network: Probabilistic Parsing of Complex Activity,2014,97,Poster
"Cross-View Action Modeling, Learning, and Recognition",2014,586,Poster
Visual Semantic Search: Retrieving Videos via Complex Textual Queries,2014,166,Poster
Zero-Shot Event Detection Using Multi-modal Fusion of Weakly Supervised Concepts,2014,145,Poster
Dual Linear Regression Based Classification for Face Cluster Recognition,2014,65,Poster
Bags of Spacetime Energies for Dynamic Scene Recognition,2014,73,Poster
"Feature-Independent Action Spotting without Human Localization, Segmentation, or Frame-wise Tracking",2014,23,Poster
Multiscale Centerline Detection by Learning a Scale-Space Distance Transform,2014,139,Oral
Multivariate General Linear Models (MGLM) on Riemannian Manifolds with Applications to Statistical Analysis of Diffusion Weighted Images,2014,65,Oral
Preconditioning for Accelerated Iteratively Reweighted Least Squares in Structured Sparsity Reconstruction,2014,50,Oral
Joint Coupled-Feature Representation and Coupled Boosting for AD Diagnosis,2014,34,Oral
